[START_CONFIGURATION]
[COUNT_OF_MEASURE]=2
[INPUT_OF_MEASURE_1]=0
[INPUT_OF_MEASURE_2]=0
[OUTPUT_OF_MEASURE_1]=0
[OUTPUT_OF_MEASURE_2]=1
[POWER_SOURSE_1]=175
[POWER_SOURSE_2]=104
[INPUT_NAME_0]=Input 0
[INPUT_NAME_1]=Input 1
[INPUT_NAME_2]=Input 2
[INPUT_NAME_3]=Input 3
[OUTPUT_NAME_0]=Output 0
[OUTPUT_NAME_1]=Output 1
[OUTPUT_NAME_2]=Output 2
[OUTPUT_NAME_3]=Not connected
[OUTPUT_NAME_4]=Not connected
[SAMPLING_PERIOD]=50000
[END_CONFIGURATION]
24 30816 
30900 30818 
30898 30825 
30902 30824 
30900 30832 
30903 30832 
30904 30837 
30908 30838 
30907 30844 
30909 30845 
30911 30853 
30913 30851 
30915 30858 
30916 30856 
30914 30864 
30918 30862 
30918 30867 
30919 30867 
30918 30873 
30923 30872 
30923 30875 
30920 30875 
30923 30880 
30924 30878 
30923 30881 
30926 30880 
30924 30885 
30926 30883 
30924 30885 
30926 30885 
30924 30889 
30926 30888 
30924 30893 
30928 30890 
30926 30892 
30928 30893 
30925 30895 
30928 30893 
30926 30894 
30926 30895 
30928 30895 
30929 30895 
30926 30899 
30926 30897 
30928 30902 
30928 30898 
30928 30901 
30928 30903 
30929 30900 
30929 30898 
30928 30904 
30926 30903 
30926 30905 
30930 30904 
30931 30908 
30927 30905 
30927 30907 
30931 30904 
30928 30905 
30929 30908 
30926 30911 
30930 30906 
30927 30908 
30931 30910 
30929 30912 
30929 30908 
30928 30911 
30930 30909 
30929 30910 
30931 30910 
30928 30912 
30931 30912 
30929 30913 
30929 30915 
30930 30913 
30932 30915 
30930 30917 
30928 30917 
30931 30917 
30930 30915 
30930 30915 
30929 30915 
30927 30915 
30930 30914 
30928 30915 
30926 30914 
30924 30912 
30927 30910 
30926 30908 
30921 30904 
30921 30904 
30918 30895 
30915 30891 
30914 30883 
30909 30878 
30906 30866 
30903 30857 
30897 30845 
30889 30837 
30886 30819 
30883 30812 
30876 30792 
30869 30786 
30866 30767 
30859 30755 
30854 30739 
30847 30729 
30843 30713 
30839 30707 
30834 30690 
30825 30683 
30822 30669 
30819 30664 
30815 30647 
30811 30642 
30805 30633 
30800 30624 
30804 30611 
30797 30608 
30790 30606 
30792 30595 
30795 30588 
30788 30588 
30787 30583 
30787 30578 
30789 30573 
30785 30569 
30789 30573 
30781 30571 
30785 30569 
30784 30569 
30785 30570 
30781 30573 
30785 30569 
30783 30578 
30785 30569 
30784 30582 
30785 30576 
30785 30574 
30787 30581 
30784 30588 
30788 30578 
30787 30588 
30789 30589 
30786 30594 
30788 30590 
30794 30593 
30790 30592 
30787 30600 
30792 30598 
30788 30602 
30790 30597 
30789 30605 
30787 30604 
30790 30605 
30795 30605 
30788 30609 
30788 30611 
30788 30610 
30792 30606 
30788 30609 
30790 30607 
30787 30606 
30793 30606 
30788 30609 
30787 30601 
30785 30604 
30790 30601 
30784 30605 
30787 30598 
30784 30605 
30787 30600 
30780 30600 
30786 30598 
30781 30601 
30783 30592 
30784 30590 
30783 30594 
30780 30600 
30783 30592 
30784 30595 
30780 30591 
30779 30600 
30783 30595 
30782 30599 
30783 30595 
30781 30605 
30780 30595 
30780 30607 
30783 30604 
30784 30611 
30787 30610 
30787 30617 
30788 30614 
30787 30623 
30788 30625 
30784 30622 
30790 30624 
30787 30629 
30795 30629 
30789 30632 
30795 30633 
30787 30635 
30793 30636 
30789 30641 
30793 30635 
30790 30638 
30793 30648 
30792 30643 
30796 30639 
30790 30644 
30790 30643 
30790 30644 
30796 30642 
30789 30645 
30790 30639 
30789 30646 
30793 30641 
30790 30642 
30794 30640 
30787 30645 
30790 30638 
30795 30641 
30788 30637 
30787 30643 
30787 30639 
30786 30643 
30787 30633 
30784 30642 
30789 30636 
30787 30635 
30787 30637 
30782 30640 
30783 30637 
30787 30638 
30787 30636 
30783 30639 
30787 30640 
30785 30639 
30787 30638 
30783 30640 
30784 30645 
30784 30640 
30787 30638 
30784 30642 
30785 30644 
30784 30645 
30789 30643 
30783 30646 
30786 30645 
30786 30649 
30789 30647 
30785 30650 
30790 30649 
30785 30656 
30790 30652 
30789 30655 
30790 30655 
30788 30659 
30789 30659 
30792 30664 
30792 30658 
30790 30670 
30795 30665 
30790 30668 
30795 30666 
30793 30674 
30795 30669 
30800 30673 
30797 30674 
30792 30679 
30793 30680 
30795 30683 
30796 30680 
30795 30686 
30798 30688 
30796 30683 
30799 30688 
30798 30691 
30800 30686 
30800 30696 
30800 30691 
30800 30696 
30800 30701 
30802 30700 
30806 30697 
30800 30702 
30804 30707 
30800 30705 
30808 30703 
30805 30709 
30801 30710 
30806 30711 
30808 30709 
30805 30716 
30808 30707 
30806 30717 
30811 30716 
30806 30715 
30812 30718 
30808 30722 
30809 30719 
30811 30720 
30812 30718 
30806 30728 
30812 30722 
30808 30728 
30812 30723 
30808 30731 
30811 30725 
30815 30726 
30812 30728 
30809 30736 
30808 30735 
30812 30734 
30815 30735 
30812 30739 
30816 30737 
30812 30743 
30814 30738 
30814 30742 
30815 30742 
